"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"FEDERALBNK","EQ","08-Mar-2022","         87.40","         87.00","         90.40","         86.05","         90.20","         89.65","         88.18","   29047023","          2561439577.00","      81664","    9518334","         32.77"
"FEDERALBNK","EQ","09-Mar-2022","         89.65","         90.80","         93.00","         89.50","         92.25","         92.45","         91.35","   23549931","          2151398350.60","      73429","    6872137","         29.18"
"FEDERALBNK","EQ","10-Mar-2022","         92.45","         95.20","         97.25","         93.75","         94.60","         94.70","         95.62","   25939107","          2480229237.05","      80188","    6796262","         26.20"
"FEDERALBNK","EQ","11-Mar-2022","         94.70","         94.40","         95.75","         93.80","         95.35","         95.30","         94.97","   15023756","          1426734371.70","      47591","    3412977","         22.72"
"FEDERALBNK","EQ","14-Mar-2022","         95.30","         95.35","         96.00","         93.80","         94.60","         94.90","         94.76","   15504240","          1469249512.90","      46644","    4838429","         31.21"
"FEDERALBNK","EQ","15-Mar-2022","         94.90","         95.35","         95.80","         93.00","         93.15","         93.45","         94.51","   12684289","          1198828452.25","      38852","    2175359","         17.15"
"FEDERALBNK","EQ","16-Mar-2022","         93.45","         94.95","         98.70","         94.55","         98.30","         98.35","         97.17","   23649366","          2298117882.40","      74233","    7249670","         30.65"
"FEDERALBNK","EQ","17-Mar-2022","         98.35","         99.65","        100.30","         97.75","         97.95","         98.05","         99.05","   18789951","          1861168399.20","      50903","    4892516","         26.04"
"FEDERALBNK","EQ","21-Mar-2022","         98.05","         98.45","         98.45","         96.80","         97.50","         97.35","         97.54","   10129862","           988087793.75","      33684","    3057161","         30.18"
"FEDERALBNK","EQ","22-Mar-2022","         97.35","         97.50","         99.20","         96.50","         99.00","         98.85","         97.82","   11871146","          1161198913.75","      34217","    2236262","         18.84"
"FEDERALBNK","EQ","23-Mar-2022","         98.85","         99.00","        100.00","         98.15","         98.75","         98.55","         99.06","   11438626","          1133125514.80","      33174","    2203511","         19.26"
"FEDERALBNK","EQ","24-Mar-2022","         98.55","         98.30","         99.15","         97.70","         98.10","         98.00","         98.49","   10320726","          1016444883.50","      32131","    1748009","         16.94"
"FEDERALBNK","EQ","25-Mar-2022","         98.00","         98.10","         98.70","         97.10","         97.70","         97.50","         97.92","    7671535","           751187526.80","      27878","    1750484","         22.82"
"FEDERALBNK","EQ","28-Mar-2022","         97.50","         97.80","         99.05","         96.20","         98.80","         98.65","         97.68","   11144335","          1088529569.75","      34696","    3284352","         29.47"
"FEDERALBNK","EQ","29-Mar-2022","         98.65","         99.65","         99.80","         97.30","         97.65","         97.55","         98.31","   11378953","          1118700428.05","      29560","    3567693","         31.35"
"FEDERALBNK","EQ","30-Mar-2022","         97.55","         98.55","         98.65","         96.65","         97.15","         97.05","         97.51","   18410087","          1795253311.30","      43042","    8580820","         46.61"
"FEDERALBNK","EQ","31-Mar-2022","         97.05","         97.20","         98.40","         96.90","         97.60","         97.40","         97.78","   10490975","          1025853190.45","      28270","    3254196","         31.02"
"FEDERALBNK","EQ","01-Apr-2022","         97.40","         97.40","        102.25","         97.15","        101.30","        101.60","        100.50","   21163607","          2127042648.35","      64601","    6988551","         33.02"
"FEDERALBNK","EQ","04-Apr-2022","        101.60","        102.00","        104.00","        101.25","        102.30","        102.50","        102.50","   25317872","          2595040194.60","      83532","    7847784","         31.00"
"FEDERALBNK","EQ","05-Apr-2022","        102.50","        103.20","        103.20","         97.70","         98.45","         98.25","         99.37","   43539147","          4326518472.55","     102024","   15186606","         34.88"
"FEDERALBNK","EQ","06-Apr-2022","         98.25","         98.25","        100.30","         97.50","         99.25","         99.30","         99.14","   15242800","          1511244062.45","      43634","    3730165","         24.47"
"FEDERALBNK","EQ","07-Apr-2022","         99.30","         99.30","         99.80","         98.00","         98.50","         98.45","         98.92","   17796591","          1760526278.50","      49758","    7158224","         40.22"
"FEDERALBNK","EQ","08-Apr-2022","         98.45","         99.50","        100.90","         99.00","        100.15","        100.20","         99.97","   15120901","          1511639730.55","      45987","    5352550","         35.40"
"FEDERALBNK","EQ","11-Apr-2022","        100.20","        100.00","        101.35","         99.55","        100.10","        100.05","        100.32","    8635769","           866303301.45","      30979","    2686161","         31.11"
"FEDERALBNK","EQ","12-Apr-2022","        100.05","        100.05","        100.05","         97.25","         98.40","         98.45","         98.33","   12213669","          1200915321.35","      32007","    3253783","         26.64"
"FEDERALBNK","EQ","13-Apr-2022","         98.45","         99.00","        100.20","         98.25","         98.75","         98.95","         99.27","   11604703","          1152013496.10","      36635","    3951814","         34.05"
"FEDERALBNK","EQ","18-Apr-2022","         98.95","         98.70","         98.70","         96.15","         97.00","         96.95","         97.05","    9523135","           924189161.50","      37981","    2515287","         26.41"
"FEDERALBNK","EQ","19-Apr-2022","         96.95","         97.60","         98.85","         95.00","         95.75","         96.30","         97.65","   11897241","          1161798664.10","      34146","    4567316","         38.39"
"FEDERALBNK","EQ","20-Apr-2022","         96.30","         96.95","         97.80","         95.75","         96.25","         96.10","         96.72","   10227110","           989115136.00","      29596","    2716887","         26.57"
"FEDERALBNK","EQ","21-Apr-2022","         96.10","         96.90","         97.30","         96.00","         96.60","         96.60","         96.55","   10130826","           978172842.15","      34284","    4054980","         40.03"
"FEDERALBNK","EQ","22-Apr-2022","         96.60","         96.50","         96.70","         95.40","         95.80","         95.75","         96.14","   11899685","          1144065698.35","      42247","    4421117","         37.15"
"FEDERALBNK","EQ","25-Apr-2022","         95.75","         95.00","         96.55","         93.70","         96.55","         95.40","         94.60","   12393868","          1172407630.70","      41119","    2751328","         22.20"
"FEDERALBNK","EQ","26-Apr-2022","         95.40","         96.80","         97.75","         96.25","         97.50","         97.50","         97.12","   10607557","          1030166868.55","      34481","    2626340","         24.76"
"FEDERALBNK","EQ","27-Apr-2022","         97.50","         96.85","         97.70","         95.90","         96.85","         97.05","         96.78","    7410436","           717145572.40","      21949","    1711995","         23.10"
"FEDERALBNK","EQ","28-Apr-2022","         97.05","         97.20","         98.00","         96.30","         97.95","         97.65","         97.15","    6876170","           668012735.20","      20178","    1687291","         24.54"
"FEDERALBNK","EQ","29-Apr-2022","         97.65","         98.00","         98.60","         95.70","         96.25","         96.00","         97.20","    7943317","           772116123.50","      34699","    1990103","         25.05"
"FEDERALBNK","EQ","02-May-2022","         96.00","         94.00","         96.55","         93.50","         94.70","         94.55","         94.54","    9517127","           899792726.30","      39198","    3598227","         37.81"
"FEDERALBNK","EQ","04-May-2022","         94.55","         95.20","         97.75","         93.85","         93.90","         94.45","         95.54","   15628039","          1493049573.80","      51536","    4972574","         31.82"
"FEDERALBNK","EQ","05-May-2022","         94.45","         95.30","         96.90","         93.90","         94.15","         94.15","         95.21","   16564829","          1577176787.40","      49960","    5696716","         34.39"
"FEDERALBNK","EQ","06-May-2022","         94.15","         93.00","         93.90","         88.65","         91.90","         91.10","         90.94","   37190821","          3382287870.95","      86087","    9514873","         25.58"
"FEDERALBNK","EQ","09-May-2022","         91.10","         91.65","         94.90","         89.35","         93.75","         93.80","         92.62","   29740740","          2754649238.20","      71650","    4920798","         16.55"
"FEDERALBNK","EQ","10-May-2022","         93.80","         93.20","         95.00","         91.85","         92.70","         92.40","         93.28","   14752094","          1376015080.90","      55841","    3254242","         22.06"
"FEDERALBNK","EQ","11-May-2022","         92.40","         93.55","         93.55","         89.30","         91.00","         90.70","         91.06","   16650244","          1516092232.70","      52328","    4219735","         25.34"
"FEDERALBNK","EQ","12-May-2022","         90.70","         90.55","         90.75","         83.95","         85.75","         85.45","         86.43","   29157781","          2520239157.95","     106444","    7747386","         26.57"
"FEDERALBNK","EQ","13-May-2022","         85.45","         87.85","         87.85","         83.20","         83.55","         83.50","         86.10","   17971518","          1547393951.70","      62947","    5071495","         28.22"
